screen,state,applicability,condition,visible,allowed_actions,preservation,focus,proof,contract_refs
S04,SUCCESS,APPLIES,"Mutation receipt confirmed, then server loads CURRENT owner state and recomputes each next action under command-map.when_offered; this candidate set is not blanket post-success execution authority",exact case response/actual corrected publication +task outcome; capacity release조건; next navigation uses screen-map.success destination and currently authorized object link; 실행한 이전 command 반복 버튼 아님; 현재 새 상태의 다음 행동만,REFRESH;DRAFT_SAVE;RESPOND_CASE;HANDOVER_PLAN;OPEN_HISTORY,현재 허용된 선택/서버 ACK 입력; target binding 불변,receipt/result heading 또는 명시 next surface,response/domaineffect receipt; 재배정만으로 case완료 금지,UX1.6;UX1.7;PR1;WA2
S05,LOADING,APPLIES,현재 context의 authorized DTO 조회중,현재 실제담당·허용 후보·saved work·권한내 영향/예외·plan상태의 skeleton; 이전 Company 민감값 없음,NONE,현재 허용된 선택/서버 ACK 입력; target binding 불변,상태 heading; background 갱신은 focus 유지,Company plan/task receipt; stop fence후 새effect불가,UX1.6;UX1.5;WA1;WA2
S05,EMPTY,APPLIES,조회 성공 + 해당 collection/context가 authorized empty,선택 task없음: 허용 실제 task선택; fraction sharing 없음,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,빈 상태 제목 후 허용 진입 action,Company plan/task receipt; stop fence후 새effect불가,UX1.6;UX1.5;WA1;WA2
S05,DENIED,APPLIES,"Current authentication or whole object/page disclosure denied. Optional-field denial => authorized PARTIAL projection; action-only denial => omit/disable only that action, not whole page.",존재 공개 불가면 uniform unavailable; 민감 HTML/props/cache 제거,RECOVERY_ROUTE,서버 protected draft/history만 보존; revoked local sensitive input 제거,비공개/인증 안내 heading,Company plan/task receipt; stop fence후 새effect불가,UX1.6;UX1.5;WA1;WA2
S05,READY,APPLIES,이 화면의 현재 필수 source/policy/owner 상태 충족,현재 실제담당·허용 후보·saved work·권한내 영향/예외·plan상태,DRAFT_SAVE;HANDOVER_PLAN;STOP_HANDOVER,현재 허용된 선택/서버 ACK 입력; target binding 불변,화면 heading 또는 현재 작업 input; 자동focus이동 없음,Company plan/task receipt; stop fence후 새effect불가,UX1.6;UX1.5;WA1;WA2
S05,INCOMPLETE,APPLIES,authorized context이나 이 action 필수 입력/증거 미충족,부적격/과부하/unknown/Group stop필요: 같은 WA1복구경로,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,첫 허용 blocking input/task; error summary 연결,Company plan/task receipt; stop fence후 새effect불가,UX1.6;UX1.5;WA1;WA2
S05,PARTIAL,APPLIES,서로 독립된 허용 subset 또는 알려진 dependency 일부 실패; each offered action must satisfy command-map.when_offered on exact visible/independent unit; no incomplete whole-scope effect,Company별 actual plan결과; hidden workload/대상개수 없음,HANDOVER_PLAN;STOP_HANDOVER;REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 부분 범위 heading; 필요 row action,Company plan/task receipt; stop fence후 새effect불가,UX1.6;UX1.5;WA1;WA2
S05,STALE,APPLIES,저장 preview/선택/입력/actorcontext의 의존 version 바뀜,task/plan/policy/capacity 변화; activeplan은stop후 successor,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 change summary; 이후 첫 영향 input,Company plan/task receipt; stop fence후 새effect불가,UX1.6;UX1.5;WA1;WA2
S05,FAILED,APPLIES,서버 read 실패 또는 owner가 확정한 no-effect failure; 둘을 구분,업무 인계 요청·지시의 허용 실패 이유·last acknowledged state; 실패는 성공/empty 아님,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent error summary; 허용 repair,Company plan/task receipt; stop fence후 새effect불가,UX1.6;UX1.5;WA1;WA2
S05,UNKNOWN,APPLIES,해당 mutation이 실행됐을 수 있으나 commit/receipt 응답 미확정,처리 결과 확인중; Company plan/task receipt; stop fence후 새effect불가,RESULT_RECONCILE;RECOVERY_ROUTE;STOP_HANDOVER,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent aria-live status; 새명령실행 없음,Company plan/task receipt; stop fence후 새effect불가,UX1.6;UX1.5;WA1;WA2
S05,SUCCESS,APPLIES,"Mutation receipt confirmed, then server loads CURRENT owner state and recomputes each next action under command-map.when_offered; this candidate set is not blanket post-success execution authority",요청대기/실제 task별 transfer receipt 구분; completed transfer보존; next navigation uses screen-map.success destination and currently authorized object link; 실행한 이전 command 반복 버튼 아님; 현재 새 상태의 다음 행동만,REFRESH;DRAFT_SAVE;HANDOVER_PLAN;STOP_HANDOVER,현재 허용된 선택/서버 ACK 입력; target binding 불변,receipt/result heading 또는 명시 next surface,Company plan/task receipt; stop fence후 새effect불가,UX1.6;UX1.5;WA1;WA2
S06,LOADING,APPLIES,현재 context의 authorized DTO 조회중,허용 과거값/현재차이·schema·보존/이용가능상태; 원 입력 보존의 skeleton; 이전 Company 민감값 없음,NONE,현재 허용된 선택/서버 ACK 입력; target binding 불변,상태 heading; background 갱신은 focus 유지,restore command/save receipt; 새버전 중복append 방지,UX1.6;UX1.5;FD1
S06,EMPTY,APPLIES,조회 성공 + 해당 collection/context가 authorized empty,허용 이력없음/knownexpired: current form복귀; hidden버전수없음,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,빈 상태 제목 후 허용 진입 action,restore command/save receipt; 새버전 중복append 방지,UX1.6;UX1.5;FD1
S06,DENIED,APPLIES,"Current authentication or whole object/page disclosure denied. Optional-field denial => authorized PARTIAL projection; action-only denial => omit/disable only that action, not whole page.",존재 공개 불가면 uniform unavailable; 민감 HTML/props/cache 제거,RECOVERY_ROUTE,서버 protected draft/history만 보존; revoked local sensitive input 제거,비공개/인증 안내 heading,restore command/save receipt; 새버전 중복append 방지,UX1.6;UX1.5;FD1
S06,READY,APPLIES,이 화면의 현재 필수 source/policy/owner 상태 충족,허용 과거값/현재차이·schema·보존/이용가능상태; 원 입력 보존,DRAFT_RESTORE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,화면 heading 또는 현재 작업 input; 자동focus이동 없음,restore command/save receipt; 새버전 중복append 방지,UX1.6;UX1.5;FD1
S06,INCOMPLETE,APPLIES,authorized context이나 이 action 필수 입력/증거 미충족,schema/retention/integrity불가: 복원차단·owner복구,RECOVERY_ROUTE;REFRESH,현재 허용된 선택/서버 ACK 입력; target binding 불변,첫 허용 blocking input/task; error summary 연결,restore command/save receipt; 새버전 중복append 방지,UX1.6;UX1.5;FD1
S06,PARTIAL,APPLIES,서로 독립된 허용 subset 또는 알려진 dependency 일부 실패,개별 pinned 권한은 whole timeline권한아님; denied old값보존,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 부분 범위 heading; 필요 row action,restore command/save receipt; 새버전 중복append 방지,UX1.6;UX1.5;FD1
S06,STALE,APPLIES,저장 preview/선택/입력/actorcontext의 의존 version 바뀜,현재draft/epoch변경: restore preview재검토,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,허용 change summary; 이후 첫 영향 input,restore command/save receipt; 새버전 중복append 방지,UX1.6;UX1.5;FD1
S06,FAILED,APPLIES,서버 read 실패 또는 owner가 확정한 no-effect failure; 둘을 구분,초안 이력·선택 복원의 허용 실패 이유·last acknowledged state; 실패는 성공/empty 아님,REFRESH;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent error summary; 허용 repair,restore command/save receipt; 새버전 중복append 방지,UX1.6;UX1.5;FD1
S06,UNKNOWN,APPLIES,해당 mutation이 실행됐을 수 있으나 commit/receipt 응답 미확정,처리 결과 확인중; restore command/save receipt; 새버전 중복append 방지,RESULT_RECONCILE;RECOVERY_ROUTE,현재 허용된 선택/서버 ACK 입력; target binding 불변,persistent aria-live status; 새명령실행 없음,restore command/save receipt; 새버전 중복append 방지,UX1.6;UX1.5;FD1
S06,SUCCESS,APPLIES,"Mutation receipt confirmed, then server loads CURRENT owner state and recomputes each next action under command-map.when_offered; this candidate set is not blanket post-success execution authority",새 draft revision 저장; origin form으로 복귀; 업무 실행없음; next navigation uses screen-map.success destination and currently authorized object link; 실행한 이전 command 반복 버튼 아님; 현재 새 상태의 다음 행동만,REFRESH;DRAFT_RESTORE,현재 허용된 선택/서버 ACK 입력; target binding 불변,receipt/result heading 또는 명시 next surface,restore command/save receipt; 새버전 중복append 방지,UX1.6;UX1.5;FD1
